2026-04-07 18:03:51 | INFO | hetionet_pipeline | Run directory: /mnt/D/mva_P2/MLNS/experiments_hala/results/main2_full_cuda_hybrid_node2vec
2026-04-07 18:03:51 | INFO | hetionet_pipeline | Loading raw edges from /mnt/D/mva_P2/MLNS/data/raw/hetionet_subset_edges.csv
2026-04-07 18:03:57 | INFO | hetionet_pipeline | Creating train/val/test splits
2026-04-07 18:03:59 | INFO | hetionet_pipeline | Building train-only graph (removing val/test positive edges)
2026-04-07 18:04:00 | INFO | hetionet_pipeline | Full encoded edges: 590775 | Train-only edges: 582382 | Removed: 8393
2026-04-07 18:04:05 | INFO | hetionet_pipeline | Adjacency rebuilt from train-only edges for metapath counting
2026-04-07 18:04:05 | INFO | hetionet_pipeline | Running heuristic baselines
2026-04-07 18:04:09 | INFO | hetionet_pipeline | Training Node2Vec on device=cuda
2026-04-07 18:07:52 | INFO | hetionet_pipeline | Training HAN on device=cuda
2026-04-07 18:07:58 | INFO | hetionet_pipeline | Running hybrid fusion using node2vec scores
2026-04-07 18:08:10 | INFO | hetionet_pipeline | Pipeline completed. Summary saved to /mnt/D/mva_P2/MLNS/experiments_hala/results/main2_full_cuda_hybrid_node2vec/metrics.json
