rank,disease_name,gene_name,hybrid_score,is_known_link,top_metapath,total_path_evidence,gnn_score,path_score,empirical_confidence,score_quantile_train,count_DpSpDaG,count_DaGpPWpG,count_DaGiG,contrib_DpSpDaG,contrib_DaGpPWpG,contrib_DaGiG
1,pancreatic cancer,TP53,1.0,True,DpSpDaG,805,33.8799,1.0,0.9999,0.9999,213,560,32,32.3086,1.3882,1.605
2,ulcerative colitis,TP53,1.0,True,DpSpDaG,494,33.0949,1.0,0.9999,0.9999,191,287,16,28.8256,0.6742,0.771
3,breast cancer,EGFR,1.0,True,DpSpDaG,2073,43.7875,1.0,0.9999,0.9999,146,1861,66,21.7011,4.7907,3.3773
4,kidney cancer,MYC,1.0,True,DpSpDaG,772,44.991,1.0,0.9999,0.9999,157,579,36,23.4426,1.4379,1.8135
5,melanoma,AKT1,1.0,True,DpSpDaG,2543,48.2764,1.0,0.9998,0.9998,115,2379,49,16.7932,6.1455,2.4911
6,psoriasis,TP53,1.0,True,DpSpDaG,542,23.9227,1.0,0.9998,0.9998,166,344,32,24.8675,0.8233,1.605
7,breast cancer,STAT3,1.0,True,DpSpDaG,1565,20.9856,1.0,0.9998,0.9998,131,1377,57,19.3263,3.5249,2.9081
8,kidney cancer,CTNNB1,1.0,True,DpSpDaG,830,21.309,1.0,0.9996,0.9996,101,702,27,14.5767,1.7596,1.3444
9,hematologic cancer,MYC,1.0,True,DpSpDaG,1538,52.3627,1.0,0.9996,0.9996,78,1405,55,10.9353,3.5981,2.8039
10,kidney cancer,CDKN1A,1.0,True,DpSpDaG,974,41.3629,1.0,0.9996,0.9996,85,854,35,12.0435,2.1571,1.7614
11,prostate cancer,TYMS,1.0,True,DpSpDaG,357,22.334,1.0,0.9995,0.9995,81,213,63,11.4102,0.4807,3.2209
12,melanoma,SRC,1.0,True,DpSpDaG,1772,46.9942,1.0,0.9995,0.9995,58,1659,55,7.7689,4.2624,2.8039
13,melanoma,CASP3,1.0,True,DpSpDaG,769,13.8082,1.0,0.9995,0.9995,112,615,42,16.3182,1.5321,2.1263
14,breast cancer,PCNA,1.0,True,DaGiG,648,85.7292,1.0,0.9994,0.9994,39,448,161,4.7608,1.0953,8.3292
15,melanoma,CTNNB1,1.0,True,DpSpDaG,1059,20.8989,1.0,0.9994,0.9994,70,952,37,9.6687,2.4134,1.8656
16,pancreatic cancer,SRC,1.0,True,DpSpDaG,1026,32.136,1.0,0.9994,0.9994,65,916,45,8.8771,2.3193,2.2826
17,hematologic cancer,EP300,1.0,True,DaGpPWpG,1872,45.1926,1.0,0.9993,0.9993,35,1754,83,4.1275,4.5109,4.2634
18,prostate cancer,ESR1,1.0,True,DpSpDaG,453,22.4533,0.9999,0.9991,0.9991,59,336,58,7.9272,0.8024,2.9603
19,ulcerative colitis,ERBB2,1.0,True,DpSpDaG,634,12.3526,0.9999,0.9991,0.9991,69,544,21,9.5104,1.3464,1.0316
20,breast cancer,ABL1,1.0,True,DpSpDaG,832,46.6692,0.9999,0.9991,0.9991,49,715,68,6.344,1.7936,3.4815
21,Alzheimer's disease,CASP3,1.0,True,DpSpDaG,479,11.8291,0.9999,0.9991,0.9991,68,383,28,9.3521,0.9253,1.3965
22,colon cancer,CDKN1A,1.0,True,DpSpDaG,977,10.4208,1.0,0.9991,0.9991,73,868,36,10.1437,2.1937,1.8135
23,prostate cancer,CTNNB1,1.0,True,DpSpDaG,898,11.6537,0.9998,0.999,0.999,54,810,34,7.1356,2.042,1.7092
24,Parkinson's disease,YWHAZ,1.0,True,DpSpDaG,565,24.7497,0.9998,0.999,0.999,59,475,31,7.9272,1.1659,1.5529
25,schizophrenia,TP53,1.0,True,DpSpDaG,415,47.3053,0.9998,0.999,0.999,58,315,42,7.7689,0.7475,2.1263
26,chronic obstructive pulmonary disease,EGFR,0.9999,True,DpSpDaG,514,26.793,0.9997,0.9989,0.9989,62,435,17,8.4021,1.0613,0.8231
27,polycystic ovary syndrome,UBC,0.9999,True,DaGiG,903,145.4992,0.9997,0.9989,0.9989,0,712,191,-1.4138,1.7857,9.893
28,chronic obstructive pulmonary disease,MYC,0.9999,False,DpSpDaG,368,34.0574,0.9997,0.9989,0.9989,63,285,20,8.5605,0.669,0.9795
29,prostate cancer,ERBB2,0.9999,True,DpSpDaG,963,9.4229,1.0,0.9989,0.9989,78,852,33,10.9353,2.1519,1.6571
30,Crohn's disease,STAT3,0.9999,True,DpSpDaG,593,8.7806,1.0,0.9987,0.9987,105,472,16,15.2099,1.1581,0.771
31,melanoma,SPP1,0.9997,True,DpSpDaG,433,27.8653,0.9984,0.9985,0.9985,47,351,35,6.0273,0.8416,1.7614
32,hypertension,SRC,0.9996,True,DaGpPWpG,1337,32.6454,0.9978,0.9984,0.9984,26,1265,46,2.7026,3.232,2.3348
33,hematologic cancer,MAPK3,0.9995,True,DaGpPWpG,3433,7.4325,1.0,0.9984,0.9984,44,3359,30,5.5524,8.7084,1.5007
34,epilepsy syndrome,AKT1,0.9995,True,DpSpDaG,779,7.6763,0.9994,0.9983,0.9983,51,706,22,6.6606,1.77,1.0837
35,rheumatoid arthritis,IL1B,0.9995,True,DpSpDaG,640,7.3664,1.0,0.9983,0.9983,156,464,20,23.2843,1.1371,0.9795
36,hematologic cancer,CREB1,0.9994,True,DaGpPWpG,2410,7.7522,0.9985,0.9982,0.9982,16,2365,29,1.1194,6.1088,1.4486
37,pancreatic cancer,NOTCH1,0.9994,True,DpSpDaG,428,7.6266,0.9987,0.9982,0.9982,50,348,30,6.5023,0.8338,1.5007
38,kidney cancer,VEGFA,0.9994,True,DpSpDaG,579,7.1222,1.0,0.9982,0.9982,176,387,16,26.4507,0.9358,0.771
39,pancreatic cancer,MAPK1,0.9993,False,DpSpDaG,1407,7.3125,0.9993,0.9982,0.9982,42,1349,16,5.2357,3.4517,0.771
40,hematologic cancer,CDK4,0.9992,True,DpSpDaG,757,36.6472,0.9961,0.9981,0.9981,28,670,59,3.0192,1.6759,3.0124
41,systemic scleroderma,CDK4,0.9992,True,DpSpDaG,256,10.2118,0.9962,0.9981,0.9981,50,189,17,6.5023,0.4179,0.8231
42,hematologic cancer,FYN,0.9991,True,DaGpPWpG,2350,7.8426,0.9968,0.9979,0.9979,9,2302,39,0.0111,5.9441,1.9699
43,hypertension,EP300,0.9989,True,DpSpDaG,1070,27.0912,0.9946,0.9977,0.9977,28,1006,36,3.0192,2.5546,1.8135
44,hypertension,VEGFA,0.9987,True,DpSpDaG,756,6.4444,1.0,0.9976,0.9976,93,645,18,13.3101,1.6105,0.8752
45,asthma,TNF,0.9985,True,DpSpDaG,336,6.3329,0.9998,0.9975,0.9975,71,261,4,9.827,0.6062,0.1455
46,uterine fibroid,MYC,0.9984,False,DpSpDaG,297,6.2034,1.0,0.9973,0.9973,82,202,13,11.5686,0.4519,0.6146
47,hematologic cancer,PIK3CA,0.9984,True,DaGpPWpG,3113,6.1849,1.0,0.9972,0.9972,45,3041,27,5.7107,7.8768,1.3444
48,melanoma,CDK2,0.9983,True,DpSpDaG,632,42.5941,0.9916,0.9972,0.9972,29,556,47,3.1775,1.3777,2.3869
49,prostate cancer,PCNA,0.9982,True,DaGiG,332,32.065,0.9911,0.9971,0.9971,20,222,90,1.7526,0.5042,4.6283
50,chronic obstructive pulmonary disease,TNF,0.9982,True,DpSpDaG,270,6.0861,0.9999,0.9971,0.9971,81,187,2,11.4102,0.4127,0.0412
51,hematologic cancer,HSP90AA1,0.9981,True,DaGiG,1214,48.522,0.9904,0.9969,0.9969,13,1137,64,0.6444,2.8972,3.273
52,lung cancer,KRAS,0.998,True,DpSpDaG,1706,5.9905,1.0,0.9968,0.9968,143,1552,11,21.2261,3.9826,0.5104
53,Alzheimer's disease,EGFR,0.998,False,DpSpDaG,630,30.3898,0.9898,0.9968,0.9968,31,562,37,3.4942,1.3934,1.8656
54,kidney cancer,MAPK3,0.9979,True,DpSpDaG,1486,5.9347,1.0,0.9966,0.9966,77,1398,11,10.777,3.5798,0.5104
55,acquired immunodeficiency syndrome,HLA-B,0.9979,True,DpSpDaG,390,5.9706,0.9995,0.9966,0.9966,60,311,19,8.0855,0.737,0.9274
56,breast cancer,TGFB1,0.9978,True,DpSpDaG,1228,5.9105,1.0,0.9966,0.9966,113,1089,26,16.4765,2.7717,1.2922
57,systemic scleroderma,MAPK1,0.9978,True,DpSpDaG,704,6.3569,0.996,0.9965,0.9965,46,653,5,5.869,1.6314,0.1976
58,psoriasis,HLA-B,0.9978,True,DpSpDaG,287,5.9213,0.9996,0.9965,0.9965,65,208,14,8.8771,0.4676,0.6667
59,lung cancer,PIK3CA,0.9977,True,DpSpDaG,1868,5.8534,1.0,0.9965,0.9965,112,1745,11,16.3182,4.4873,0.5104
60,psoriasis,PCNA,0.9976,True,DpSpDaG,219,33.6153,0.9879,0.9963,0.9963,32,135,52,3.6525,0.2767,2.6475
61,melanoma,PIK3CA,0.9976,True,DpSpDaG,2161,5.7869,1.0,0.9963,0.9963,75,2070,16,10.4603,5.3373,0.771
62,hematologic cancer,ICAM1,0.9975,True,DpSpDaG,566,5.7806,0.9998,0.9962,0.9962,56,466,44,7.4522,1.1424,2.2305
63,lung cancer,BIRC5,0.9974,True,DpSpDaG,251,5.7378,1.0,0.9961,0.9961,89,137,25,12.6768,0.2819,1.2401
64,acquired immunodeficiency syndrome,NRAS,0.9974,True,DpSpDaG,754,5.738,1.0,0.9961,0.9961,81,661,12,11.4102,1.6524,0.5625
65,malignant glioma,SRC,0.9974,False,DpSpDaG,846,5.7403,0.9999,0.9961,0.9961,64,757,25,8.7188,1.9034,1.2401
66,hypertension,ALB,0.9974,True,DpSpDaG,514,5.7484,0.9998,0.9961,0.9961,66,436,12,9.0354,1.0639,0.5625
67,breast cancer,PTGS2,0.9974,True,DpSpDaG,696,5.7207,1.0,0.996,0.996,206,462,28,31.2004,1.1319,1.3965
68,hematologic cancer,ALB,0.9973,True,DpSpDaG,395,5.7672,0.9991,0.996,0.996,56,319,20,7.4522,0.7579,0.9795
69,pancreatic cancer,PIK3CA,0.9973,True,DpSpDaG,1247,5.6942,1.0,0.996,0.996,79,1151,17,11.0936,2.9339,0.8231
70,lung cancer,KIT,0.9972,True,DpSpDaG,899,5.6373,1.0,0.9958,0.9958,132,746,21,19.4846,1.8747,1.0316
71,hematologic cancer,UBA52,0.9971,True,DaGpPWpG,2325,16.6045,0.9857,0.9958,0.9958,0,2287,38,-1.4138,5.9048,1.9177
72,rheumatoid arthritis,FN1,0.9971,True,DpSpDaG,364,5.9693,0.9956,0.9958,0.9958,45,295,24,5.7107,0.6952,1.188
73,hematologic cancer,IL2,0.997,True,DpSpDaG,1004,5.5854,1.0,0.9957,0.9957,98,897,9,14.1017,2.2696,0.4061
74,hematologic cancer,NR3C1,0.997,True,DpSpDaG,314,6.7035,0.9899,0.9957,0.9957,29,225,60,3.1775,0.5121,3.0645
75,rheumatoid arthritis,NOS3,0.9967,True,DpSpDaG,436,5.4894,0.9999,0.9955,0.9955,74,350,12,10.302,0.839,0.5625
76,epilepsy syndrome,VEGFA,0.9967,True,DpSpDaG,374,5.4818,1.0,0.9955,0.9955,98,267,9,14.1017,0.6219,0.4061
77,melanoma,RB1,0.9966,True,DpSpDaG,569,5.4762,0.9997,0.9954,0.9954,57,485,27,7.6105,1.1921,1.3444
78,lung cancer,SOX2,0.9964,True,DpSpDaG,154,5.5012,0.9984,0.9953,0.9953,56,77,21,7.4522,0.125,1.0316
79,hematologic cancer,JAK1,0.9963,True,DaGpPWpG,2480,5.512,0.9978,0.9952,0.9952,11,2436,33,0.3278,6.2945,1.6571
80,kidney cancer,LDHB,0.9963,True,DpSpDaG,198,6.2987,0.9888,0.9951,0.9951,43,135,20,5.394,0.2767,0.9795
81,breast cancer,NQO1,0.9961,True,DpSpDaG,281,5.4176,0.9984,0.995,0.995,53,204,24,6.9772,0.4572,1.188
82,IgA glomerulonephritis,CDKN1A,0.9961,True,DaGiG,1079,43.9034,0.9804,0.9949,0.9949,9,1001,69,0.0111,2.5416,3.5337
83,breast cancer,COTL1,0.9961,True,DaGiG,118,42.0231,0.9804,0.9949,0.9949,14,0,104,0.8027,-0.0764,5.3581
84,stomach cancer,JUN,0.996,True,DpSpDaG,819,5.2937,0.9999,0.9948,0.9948,67,734,18,9.1937,1.8433,0.8752
85,breast cancer,ALB,0.996,True,DpSpDaG,481,5.2818,1.0,0.9948,0.9948,105,357,19,15.2099,0.8573,0.9274
